id_key,date_reference,score_value,score_predict
39298940286607,20220305,186,3.96
11002778869331,20200306,498,5.88
97561777073875,20240819,397,4.75
51264916574561,20250912,393,8.65
95501685234443,20210826,41,5.53
38412705814926,20220613,563,3.45
21422812560629,20230308,665,3.15
98540787860997,20200816,939,5.51
94869040576626,20250522,724,5.49
71854987703784,20250629,651,5.28
31184030943588,20221215,591,0.28
34827036294349,20200722,762,3.83
70632683366386,20210626,894,6.41
18457873779331,20250511,891,1.97
57733968670332,20200102,182,0.63
90432788516795,20220825,743,3.89
74990066779326,20250701,546,7.85
65612877074714,20200723,692,5.71
88415473878342,20251118,337,8.29
96650993791135,20250319,177,5.67
62867819425962,20220420,108,2.48
27675352717030,20210731,190,7.4
15064511939435,20241028,152,5.19
73809594392951,20220913,495,2.1
11114169455463,20201103,376,6.97
80513027629914,20221006,60,5.38
17132698244951,20210319,103,4.41
76829634164419,20220808,926,6.84
48170804696735,20230923,744,5.46
57704808636007,20240920,321,9.82
37727473313201,20201112,462,3.14
39608221451009,20200627,52,0.75
95860585525375,20250405,456,5.01
80901549719824,20220920,761,0.21
14856180392916,20221228,988,6.84
67223681066041,20201012,31,4.63
24109944319182,20250219,781,3.5
23658062455415,20220220,598,2.55
41047130937329,20251207,301,1.17
93924310397936,20250328,696,5.62
17293575044107,20250207,155,8.95
95743519184394,20210211,745,6.01
20562417039563,20241209,1,8.78
57091173482389,20250216,71,5.12
42160943528128,20210316,285,2.08
45126209010969,20250810,961,6.01
95148438681060,20220910,377,4.37
39540554163850,20210708,125,8.94
26204507558985,20221210,497,0.3
35434402635218,20210914,707,9.13
13381392799613,20201207,887,3.01
24251762355403,20230730,977,4.56
78486867898100,20221104,633,0.71
49047737476199,20210123,872,7.61
33279966738001,20220824,419,6.42
89691296484563,20220811,134,4.35
30020059338677,20230104,33,1.78
33533273096329,20200420,875,7.05
28018124979522,20210927,422,3.75
77697372076674,20210307,615,4.27
68003080582856,20240515,193,0.45
15431745735553,20220921,479,0.69
99670610343940,20221212,276,5.06
69650536221871,20230407,785,8.66
97800072446197,20230831,910,1.21
98818818396687,20220601,357,3.43
95878622960086,20210802,821,1.86
74783467481284,20211202,153,6.0
30481011609664,20231018,116,5.48
85342243520216,20240121,717,7.78
23414506094247,20241109,44,0.25
74100825641142,20241212,31,2.19
58434847171412,20220515,951,2.92
80299445173298,20230811,953,9.72
96392675797744,20201103,179,8.33
78297192731601,20250610,124,2.34
66769212540644,20201217,462,9.13
79297570089289,20231027,54,9.0
20951666370820,20250623,654,0.09
21540904290307,20210724,659,1.88
39447692192047,20231201,985,4.31
97022973481468,20210201,456,2.25
92652474348691,20200404,859,7.03
94903351047356,20210721,267,6.81
75380607297299,20250113,536,4.03
68975063640072,20220606,532,2.58
43127529699662,20231026,853,3.18
89770871017847,20210627,3,3.23
57640502606005,20200513,130,9.61
53110351449928,20221102,736,4.69
27255018799558,20240831,986,3.51
11247290580688,20210612,702,1.81
28463643054248,20211110,17,0.43
44483211333696,20221012,157,3.36
70825923954289,20230105,432,2.06
33785139091791,20210706,321,3.16
89467935470275,20230710,854,5.59
90629239914944,20210820,273,1.26
15178447223280,20240613,953,1.63
33725348452846,20250112,625,2.59
33779082004350,20220321,482,1.14
10770795650706,20230911,410,0.32
90482655867183,20250326,486,8.24
99249260839095,20210423,911,5.0
92053923950113,20240603,532,6.97
41867858723121,20250728,426,3.91
80689396375388,20210417,182,3.67
18193342312879,20240506,17,0.86
76491811747794,20241029,544,2.12
79983031680372,20241024,520,9.36
73647009815321,20201130,869,7.33
50845873215706,20211117,989,8.37
14154905101317,20241104,274,5.13
74031129237870,20200912,356,7.74
56299707473707,20210108,311,8.31
28417081506578,20210616,162,7.39
79553887689431,20211217,975,2.4
27543340868744,20251220,675,6.19
70387063013260,20211018,676,9.09
35302325237155,20231230,773,8.53
10140066430203,20250417,741,0.52
99029355893505,20251127,771,1.86
62904618407327,20231111,102,6.95
77035615030380,20230309,388,5.68
59723903968046,20210906,674,8.15
38676480455768,20251227,463,6.7
19380294445544,20200910,936,2.4
16374253193268,20210528,267,4.0
57682992252516,20221123,697,1.27
14314908833263,20210216,856,2.69
60620626592316,20220502,938,7.14
18113861518529,20240721,800,5.05
81399514438109,20211228,433,1.54
34267025566318,20250805,907,1.95
90807374716154,20220514,842,6.49
60121750451986,20220907,987,6.46
72652440624323,20240402,391,0.58
41547638454582,20221102,347,8.8
20427961564409,20201210,984,9.74
83801488135577,20250323,496,1.22
24358402745733,20220309,144,4.13
10506016115189,20231108,147,5.05
40492267489592,20231008,211,3.82
14505694232491,20210811,471,4.76
37186467256660,20210529,571,1.46
27138901070944,20241219,608,7.17
33300494942499,20210130,621,7.67
78177746744991,20200131,149,8.0
10206548374324,20251201,152,5.42
40724941284661,20241219,94,8.86
22746332006683,20250818,138,1.47
88319135392542,20240526,608,4.63
37747520125324,20230921,885,0.53
62430923117702,20250320,256,4.98
84560290753980,20220815,340,6.03
60025555159422,20211126,379,7.67
79088010178793,20240414,432,8.39
70758009691349,20200503,703,5.74
92557116671067,20210908,199,1.94
73308469061720,20220610,936,9.38
89698575561315,20211031,995,2.85
86198825327218,20221003,791,1.82
73420227496648,20210324,639,9.39
68886297453025,20241030,452,2.89
55699885908447,20201022,612,7.31
67147700456439,20200219,345,7.47
76794952900871,20250712,29,9.87
81737421647529,20220423,272,0.86
45583432241232,20210929,915,7.51
44547685511126,20210823,100,9.46
70114010029604,20250601,965,9.71
12664721006456,20240904,296,5.78
99043328636932,20210927,208,3.26
85616917361007,20240612,892,3.81
27440140853219,20240915,684,8.99
14958269661149,20241126,291,8.41
90143454869867,20230521,975,3.74
17474367311748,20230201,250,3.65
79504244551838,20210223,494,5.68
12832568968262,20221015,911,8.91
97665644610546,20241221,826,5.5
56276812822763,20210725,610,3.17
40929544829719,20250324,148,6.37
63647394160997,20210703,946,0.38
65273143517512,20230624,229,8.34
64200594131310,20250828,633,4.39
23524828712727,20220110,652,0.95
84758984488773,20251213,746,2.34
21319701935617,20241016,500,6.3
23819187292775,20241205,960,1.81
90424278574774,20210220,198,8.77
52582240649955,20220723,395,3.52
